seID,SrcIp,DstIp,SrcPort,DstPort,ulVolume,dlVolume,totalVolume,ulPacket,dlPacket,totalPacket,timestamp
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:13
2587,170524674,134744072,0,0,489122844,489122844,489122844,13063,12908,25971,2025-01-19 01:45:13
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:16
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:16
2587,170524674,134744072,0,0,499732884,499732884,499732884,13316,13188,26504,2025-01-19 01:45:16
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:19
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:19
2587,170524674,134744072,0,0,507728307,507728307,507728307,13577,13399,26976,2025-01-19 01:45:19
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:22
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:22
2587,170524674,134744072,0,0,517959417,517959417,517959417,13832,13669,27501,2025-01-19 01:45:22
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:25
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:25
2587,170524674,134744072,0,0,524249655,524249655,524249655,14002,13835,27837,2025-01-19 01:45:25
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:28
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:28
2587,170524674,134744072,0,0,533836584,533836584,533836584,14261,14088,28349,2025-01-19 01:45:28
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:31
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:31
2587,170524674,134744072,0,0,543347727,543347727,543347727,14515,14339,28854,2025-01-19 01:45:31
